episode,total_reward,epsilon,buffer_size,keep_ratio,next_ratio,traffic_N,traffic_S,traffic_E,traffic_W
405,-82.22,0.1313,50000,0.628,0.372,1257,1363,1622,1135
406,-96.6,0.1307,50000,0.551,0.449,1264,1065,897,875
407,-67.57,0.13,50000,0.597,0.403,1248,1019,1475,1588
408,-79.03,0.1294,50000,0.564,0.436,1235,1231,888,1229
409,-93.18,0.1287,50000,0.554,0.446,1313,1194,1709,1608
410,-43.49,0.1281,50000,0.492,0.508,1782,806,881,949
411,-96.02,0.1274,50000,0.581,0.419,919,1115,1310,1737
412,-114.7,0.1268,50000,0.619,0.381,1580,1697,1333,999
413,-55.31,0.1262,50000,0.583,0.417,1623,1630,801,1732
414,-109.32,0.1255,50000,0.644,0.356,1344,938,1698,1315
415,-73.85,0.1249,50000,0.64,0.36,1800,1157,1222,1382
416,-94.1,0.1243,50000,0.611,0.389,1282,1645,1017,1095
417,-65.79,0.1237,50000,0.618,0.382,1203,1258,1238,1215
418,-81.6,0.123,50000,0.558,0.442,1338,912,1236,1054
419,-86.52,0.1224,50000,0.664,0.336,1699,1221,1293,839
420,-99.06,0.1218,50000,0.611,0.389,1215,1150,972,1106
421,-92.66,0.1212,50000,0.65,0.35,1556,993,1799,1497
422,-60.76,0.1206,50000,0.649,0.351,1520,851,1522,1744
423,-77.04,0.12,50000,0.606,0.394,1314,1405,1309,865
424,-63.16,0.1194,50000,0.588,0.412,876,842,1499,1401
425,-81.04,0.1188,50000,0.615,0.385,1147,1744,1347,1020
426,-45.45,0.1182,50000,0.61,0.39,1018,906,862,921
427,-72.87,0.1176,50000,0.654,0.346,1313,1575,1278,1510
428,-68.0,0.117,50000,0.574,0.426,897,1719,1769,1351
429,-84.16,0.1164,50000,0.614,0.386,1214,1667,1042,1564
430,-76.5,0.1159,50000,0.483,0.517,823,1456,1449,1346
431,-92.76,0.1153,50000,0.674,0.326,1760,1799,1148,1354
432,-48.4,0.1147,50000,0.569,0.431,841,1760,1315,1061
433,-52.08,0.1141,50000,0.688,0.312,1732,926,854,1435
434,-93.45,0.1136,50000,0.636,0.364,1540,1264,1191,1643
435,-63.49,0.113,50000,0.628,0.372,1034,1340,1202,855
436,-52.71,0.1124,50000,0.64,0.36,1007,1356,910,840
437,-53.23,0.1119,50000,0.643,0.357,1565,991,944,879
438,-96.88,0.1113,50000,0.629,0.371,935,1744,1147,1031
439,-51.49,0.1107,50000,0.607,0.393,843,1422,950,1603
440,-84.59,0.1102,50000,0.622,0.378,1448,1589,1407,1427
441,-75.68,0.1096,50000,0.694,0.306,1188,1728,898,1526
442,-58.27,0.1091,50000,0.64,0.36,1035,1256,983,1122
443,-67.39,0.1085,50000,0.672,0.328,928,951,1558,1667
444,-61.73,0.108,50000,0.674,0.326,967,1763,1227,1437
445,-58.41,0.1075,50000,0.681,0.319,1565,1616,1697,1503
446,-61.23,0.1069,50000,0.632,0.368,1429,1769,920,910
447,-41.49,0.1064,50000,0.556,0.444,869,1071,1178,1043
448,-58.73,0.1059,50000,0.585,0.415,886,1393,1063,1103
449,-65.94,0.1053,50000,0.686,0.314,1529,1719,1110,913
450,-58.88,0.1048,50000,0.647,0.353,1237,974,1632,1544
451,-55.54,0.1043,50000,0.644,0.356,1357,828,1025,904
452,-60.87,0.1038,50000,0.651,0.349,1386,897,1382,1515
453,-69.73,0.1032,50000,0.714,0.286,872,1009,801,1092
454,-84.31,0.1027,50000,0.608,0.392,1539,1488,1503,878
455,-99.32,0.1022,50000,0.65,0.35,1523,1432,1591,890
