scenario,mode,episode,seed,total_reward,avg_waiting_time,avg_queue,max_queue,throughput
low,fixed,0,1000,-5.21,239.7625,8.930555555555555,19.0,1184
low,webster,0,1000,-0.3800000000000001,25.34027777777778,2.386111111111111,11.0,1186
low,rl,0,1000,-1.189999999999996,108.6138888888889,5.95,14.0,1190
low,fixed,1,1001,-4.47,240.17083333333332,8.969444444444445,20.0,1186
low,webster,1,1001,-0.4200000000000007,23.36111111111111,2.2694444444444444,9.0,1190
low,rl,1,1001,-1.219999999999996,106.6763888888889,5.911111111111111,14.0,1190
low,fixed,2,1002,-5.259999999999999,242.00833333333333,9.041666666666666,19.0,1184
low,webster,2,1002,-0.3800000000000002,24.133333333333333,2.3,11.0,1188
low,rl,2,1002,-1.1999999999999968,103.46805555555555,5.794444444444444,14.0,1190
low,fixed,3,1003,-5.0,242.725,9.05,20.0,1185
low,webster,3,1003,-0.39,23.230555555555554,2.2430555555555554,10.0,1188
low,rl,3,1003,-1.1899999999999973,105.58194444444445,5.848611111111111,14.0,1189
low,fixed,4,1004,-6.349999999999999,239.9625,8.998611111111112,20.0,1181
low,webster,4,1004,-0.4100000000000004,23.220833333333335,2.2597222222222224,10.0,1186
low,rl,4,1004,-1.229999999999997,106.70555555555555,5.888888888888889,14.0,1190
low,fixed,5,1005,-5.259999999999999,240.04305555555555,8.975,20.0,1183
low,webster,5,1005,-0.4099999999999995,24.954166666666666,2.3555555555555556,10.0,1184
low,rl,5,1005,-0.39000000000000057,114.43611111111112,6.148611111111111,14.0,1183
low,fixed,6,1006,-5.23,239.39166666666668,8.959722222222222,20.0,1184
low,webster,6,1006,-0.4000000000000012,24.20277777777778,2.3541666666666665,10.0,1185
low,rl,6,1006,-1.1999999999999984,108.89444444444445,5.9847222222222225,14.0,1189
low,fixed,7,1007,-5.5600000000000005,241.82222222222222,9.0625,20.0,1183
low,webster,7,1007,-0.3899999999999999,23.3875,2.2847222222222223,10.0,1187
low,rl,7,1007,-1.1899999999999968,106.96527777777777,5.897222222222222,14.0,1189
medium,fixed,0,1000,-9.76,467.2652777777778,18.40138888888889,36.0,2363
medium,webster,0,1000,-3.8000000000000007,241.79722222222222,13.558333333333334,22.0,2368
medium,rl,0,1000,-3.81,190.23333333333332,11.820833333333333,22.0,2373
medium,fixed,1,1001,-9.32,466.425,18.369444444444444,34.0,2362
medium,webster,1,1001,-3.6900000000000004,242.10694444444445,13.630555555555556,22.0,2368
medium,rl,1,1001,-4.39,191.49583333333334,11.848611111111111,23.0,2371
medium,fixed,2,1002,-8.77,467.8361111111111,18.365277777777777,36.0,2365
medium,webster,2,1002,-3.72,241.88888888888889,13.645833333333334,22.0,2369
medium,rl,2,1002,-3.7,189.8375,11.777777777777779,22.0,2372
medium,fixed,3,1003,-9.87,468.70694444444445,18.46388888888889,35.0,2362
medium,webster,3,1003,-3.73,243.11805555555554,13.65,22.0,2366
medium,rl,3,1003,-3.8,190.6611111111111,11.8125,23.0,2372
medium,fixed,4,1004,-8.83,471.2388888888889,18.55,36.0,2364
medium,webster,4,1004,-3.89,241.70555555555555,13.605555555555556,22.0,2369
medium,rl,4,1004,-3.74,191.76111111111112,11.843055555555555,23.0,2373
medium,fixed,5,1005,-9.55,476.3638888888889,18.705555555555556,36.0,2362
medium,webster,5,1005,-3.63,241.63472222222222,13.593055555555555,22.0,2367
medium,rl,5,1005,-3.69,190.73333333333332,11.811111111111112,23.0,2372
medium,fixed,6,1006,-10.42,471.3236111111111,18.454166666666666,35.0,2361
medium,webster,6,1006,-3.69,242.0013888888889,13.651388888888889,22.0,2368
medium,rl,6,1006,-3.79,192.19305555555556,11.8625,22.0,2371
medium,fixed,7,1007,-10.49,468.6736111111111,18.488888888888887,34.0,2361
medium,webster,7,1007,-3.73,241.8361111111111,13.565277777777778,22.0,2367
medium,rl,7,1007,-3.75,192.5388888888889,11.870833333333334,22.0,2371
high,fixed,0,1000,-177.68,2980.240277777778,103.80555555555556,136.0,2422
high,webster,0,1000,-60.24,2094.1208333333334,64.53888888888889,115.0,4026
high,rl,0,1000,-86.94,2377.1388888888887,90.26527777777778,123.0,3368
high,fixed,1,1001,-163.28,3054.7208333333333,105.24027777777778,136.0,2431
high,webster,1,1001,-28.63,1604.9763888888888,51.798611111111114,87.0,4206
high,rl,1,1001,-75.16,2278.751388888889,89.26805555555555,118.0,3351
high,fixed,2,1002,-161.9,2946.8458333333333,103.72638888888889,137.0,2427
high,webster,2,1002,-31.4,1400.1972222222223,45.88472222222222,75.0,4290
high,rl,2,1002,-76.18,2378.858333333333,89.17916666666666,119.0,3363
high,fixed,3,1003,-178.31,3067.573611111111,105.27222222222223,136.0,2436
high,webster,3,1003,-22.84,1341.923611111111,44.52777777777778,67.0,4313
high,rl,3,1003,-79.92,2399.848611111111,89.80833333333334,124.0,3377
high,fixed,4,1004,-175.51,2999.5416666666665,104.84861111111111,137.0,2421
high,webster,4,1004,-27.07,1564.775,50.31527777777778,84.0,4225
high,rl,4,1004,-97.35,2376.197222222222,89.36666666666666,118.0,3385
high,fixed,5,1005,-171.28,3006.873611111111,104.96111111111111,144.0,2454
high,webster,5,1005,-58.75,1918.4541666666667,60.233333333333334,113.0,4079
high,rl,5,1005,-82.32,2449.151388888889,91.56111111111112,122.0,3391
high,fixed,6,1006,-182.7,2993.651388888889,104.23055555555555,137.0,2462
high,webster,6,1006,-23.02,1340.8402777777778,44.53472222222222,67.0,4313
high,rl,6,1006,-77.03,2320.7694444444446,89.35555555555555,121.0,3311
high,fixed,7,1007,-178.77,3055.1111111111113,105.57222222222222,137.0,2446
high,webster,7,1007,-31.9,1452.7541666666666,47.397222222222226,84.0,4264
high,rl,7,1007,-82.98,2355.226388888889,89.94166666666666,122.0,3301
asymmetric,fixed,0,1000,-96.38,1608.825,56.80833333333333,95.0,1817
asymmetric,webster,0,1000,-61.8,845.9875,43.37222222222222,75.0,2228
asymmetric,rl,0,1000,-3.25,355.6611111111111,17.958333333333332,45.0,2755
asymmetric,fixed,1,1001,-94.8,1581.276388888889,56.975,93.0,1811
