scenario,mode,episode,seed,total_reward,avg_waiting_time,avg_queue,max_queue,throughput
low,rl_global,9,1009,-1.1899999999999995,123.42361111111111,6.076388888888889,10.0,1190
low,rl_e2,9,1009,-1.2199999999999995,109.69166666666666,5.566666666666666,12.0,1190
low,fixed,10,1010,-4.43,265.91527777777776,9.027777777777779,16.0,1186
low,webster,10,1010,-946.84,6187.254166666667,49.32083333333333,139.0,1017
low,rl_global,10,1010,-1.1899999999999995,124.01944444444445,6.1097222222222225,10.0,1190
low,rl_e2,10,1010,-1.2100000000000009,102.12222222222222,5.322222222222222,13.0,1190
low,fixed,11,1011,-4.97,261.23333333333335,8.9125,16.0,1185
low,webster,11,1011,-804.28,6316.626388888889,48.44166666666667,139.0,1032
low,rl_global,11,1011,-1.18,123.14305555555555,6.072222222222222,10.0,1189
low,rl_e2,11,1011,-1.1399999999999995,100.86527777777778,5.284722222222222,12.0,1190
low,fixed,12,1012,-4.47,265.9555555555556,9.020833333333334,16.0,1186
low,webster,12,1012,-939.14,6812.455555555555,49.765277777777776,144.0,1013
low,rl_global,12,1012,-1.1599999999999986,124.03472222222223,6.118055555555555,10.0,1190
low,rl_e2,12,1012,-1.1900000000000008,99.91805555555555,5.222222222222222,12.0,1190
low,fixed,13,1013,-5.500000000000001,265.75694444444446,9.03888888888889,16.0,1184
low,webster,13,1013,-936.14,6321.9319444444445,49.9375,144.0,1013
low,rl_global,13,1013,-1.219999999999999,123.99861111111112,6.1097222222222225,10.0,1190
low,rl_e2,13,1013,-1.210000000000003,100.51944444444445,5.219444444444444,12.0,1190
low,fixed,14,1014,-5.0200000000000005,263.0597222222222,8.972222222222221,16.0,1185
low,webster,14,1014,-695.3,6107.168055555556,49.38194444444444,139.0,1033
low,rl_global,14,1014,-1.2399999999999995,123.56527777777778,6.101388888888889,10.0,1190
low,rl_e2,14,1014,-1.2400000000000009,100.00833333333334,5.230555555555555,12.0,1190
medium,fixed,0,1000,-8.98,500.6430555555556,17.5125,28.0,2365
medium,webster,0,1000,-3.65,264.2944444444444,13.20138888888889,18.0,2369
medium,rl_global,0,1000,-3.68,205.11388888888888,11.1,19.0,2370
medium,rl_e2,0,1000,-2.46,229.88888888888889,12.05,19.0,2368
medium,fixed,1,1001,-8.42,499.2291666666667,17.508333333333333,28.0,2365
medium,webster,1,1001,-3.62,264.1638888888889,13.188888888888888,18.0,2368
medium,rl_global,1,1001,-3.59,205.99444444444444,11.116666666666667,19.0,2370
medium,rl_e2,1,1001,-2.42,229.79305555555555,12.033333333333333,19.0,2367
medium,fixed,2,1002,-8.5,505.3597222222222,17.619444444444444,28.0,2366
medium,webster,2,1002,-3.57,263.2888888888889,13.202777777777778,18.0,2370
medium,rl_global,2,1002,-3.59,205.44583333333333,11.115277777777777,18.0,2370
medium,rl_e2,2,1002,-2.71,291.61944444444447,14.17361111111111,18.0,2362
medium,fixed,3,1003,-8.96,508.62083333333334,17.70277777777778,29.0,2365
medium,webster,3,1003,-3.64,263.85555555555555,13.188888888888888,18.0,2366
medium,rl_global,3,1003,-3.61,205.82222222222222,11.115277777777777,19.0,2370
medium,rl_e2,3,1003,-2.41,231.96805555555557,12.105555555555556,19.0,2366
medium,fixed,4,1004,-8.49,511.8625,17.745833333333334,29.0,2365
medium,webster,4,1004,-3.58,263.7125,13.195833333333333,18.0,2369
medium,rl_global,4,1004,-3.63,206.21527777777777,11.172222222222222,19.0,2370
medium,rl_e2,4,1004,-2.36,232.07638888888889,12.118055555555555,20.0,2368
medium,fixed,5,1005,-8.85,514.9111111111112,17.855555555555554,30.0,2364
medium,webster,5,1005,-3.5,264.00138888888887,13.208333333333334,18.0,2367
medium,rl_global,5,1005,-4.14,206.53333333333333,11.154166666666667,19.0,2369
medium,rl_e2,5,1005,-2.32,228.6263888888889,12.02361111111111,19.0,2366
medium,fixed,6,1006,-9.59,506.74444444444447,17.677777777777777,28.0,2362
medium,webster,6,1006,-3.52,264.3027777777778,13.213888888888889,18.0,2368
medium,rl_global,6,1006,-3.55,206.38888888888889,11.152777777777779,19.0,2369
medium,rl_e2,6,1006,-2.33,229.9111111111111,12.058333333333334,19.0,2366
medium,fixed,7,1007,-9.51,505.68055555555554,17.620833333333334,28.0,2364
medium,webster,7,1007,-3.53,263.3652777777778,13.161111111111111,18.0,2367
medium,rl_global,7,1007,-3.58,207.69305555555556,11.183333333333334,18.0,2370
medium,rl_e2,7,1007,-2.37,231.57916666666668,12.1125,19.0,2368
medium,fixed,8,1008,-9.55,503.51666666666665,17.58888888888889,28.0,2363
medium,webster,8,1008,-3.6,264.2138888888889,13.209722222222222,18.0,2367
medium,rl_global,8,1008,-3.63,205.75833333333333,11.143055555555556,18.0,2370
medium,rl_e2,8,1008,-2.38,230.93194444444444,12.07638888888889,19.0,2367
medium,fixed,9,1009,-8.93,504.1333333333333,17.613888888888887,28.0,2365
medium,webster,9,1009,-3.66,263.64722222222224,13.168055555555556,18.0,2367
medium,rl_global,9,1009,-3.62,205.7,11.141666666666667,19.0,2370
medium,rl_e2,9,1009,-2.43,230.6013888888889,12.081944444444444,19.0,2367
medium,fixed,10,1010,-8.53,506.65555555555557,17.633333333333333,28.0,2366
medium,webster,10,1010,-3.59,265.6402777777778,13.265277777777778,19.0,2368
medium,rl_global,10,1010,-3.57,206.5611111111111,11.172222222222222,19.0,2370
medium,rl_e2,10,1010,-2.4,230.86944444444444,12.098611111111111,20.0,2367
medium,fixed,11,1011,-8.93,506.13194444444446,17.65138888888889,28.0,2365
medium,webster,11,1011,-3.56,264.16527777777776,13.2125,18.0,2369
medium,rl_global,11,1011,-3.58,204.45694444444445,11.091666666666667,19.0,2370
medium,rl_e2,11,1011,-2.37,234.2888888888889,12.223611111111111,20.0,2367
medium,fixed,12,1012,-9.5,501.52916666666664,17.56111111111111,28.0,2364
medium,webster,12,1012,-3.62,264.3513888888889,13.209722222222222,18.0,2368
medium,rl_global,12,1012,-3.68,206.25555555555556,11.180555555555555,19.0,2370
medium,rl_e2,12,1012,-2.42,229.08055555555555,12.025,19.0,2368
medium,fixed,13,1013,-9.49,504.4166666666667,17.613888888888887,28.0,2364
medium,webster,13,1013,-3.59,264.31944444444446,13.188888888888888,19.0,2368
medium,rl_global,13,1013,-3.57,206.50972222222222,11.161111111111111,19.0,2370
medium,rl_e2,13,1013,-2.36,231.73888888888888,12.094444444444445,19.0,2368
medium,fixed,14,1014,-8.51,508.8611111111111,17.6875,29.0,2366
medium,webster,14,1014,-3.62,264.69305555555553,13.223611111111111,18.0,2369
medium,rl_global,14,1014,-3.64,208.34027777777777,11.216666666666667,20.0,2370
medium,rl_e2,14,1014,-2.43,231.33333333333334,12.095833333333333,19.0,2367
high,fixed,0,1000,-155.75,3034.4333333333334,103.09722222222223,134.0,2451
high,webster,0,1000,-93.11,2460.575,68.275,122.0,3955
high,rl_global,0,1000,-84.7,2258.3305555555557,90.23055555555555,123.0,3159
high,rl_e2,0,1000,-81.09,2719.347222222222,88.27638888888889,121.0,3431
high,fixed,1,1001,-168.42,3042.4958333333334,104.12361111111112,129.0,2434
high,webster,1,1001,-71.56,3124.4694444444444,85.95416666666667,126.0,3742
high,rl_global,1,1001,-99.96,2287.988888888889,89.94305555555556,118.0,3189
high,rl_e2,1,1001,-78.77,2598.6833333333334,88.90277777777777,123.0,3396
high,fixed,2,1002,-158.01,3002.8,103.71111111111111,133.0,2398
high,webster,2,1002,-63.1,2167.972222222222,59.602777777777774,109.0,4105
high,rl_global,2,1002,-91.16,2204.445833333333,89.12361111111112,120.0,3147
high,rl_e2,2,1002,-91.69,2537.5805555555557,87.83611111111111,122.0,3377
high,fixed,3,1003,-157.01,3030.8444444444444,103.93611111111112,138.0,2414
high,webster,3,1003,-79.48,2788.8069444444445,77.20138888888889,121.0,3814
high,rl_global,3,1003,-84.21,2271.8972222222224,89.23194444444445,118.0,3207
high,rl_e2,3,1003,-79.58,2608.883333333333,89.95972222222223,120.0,3348
high,fixed,4,1004,-160.34,3062.2555555555555,104.25833333333334,134.0,2440
high,webster,4,1004,-67.38,2049.9236111111113,56.50694444444444,107.0,4128
high,rl_global,4,1004,-102.73,2239.2472222222223,90.06388888888888,118.0,3172
high,rl_e2,4,1004,-56.66,2693.5652777777777,88.08055555555555,123.0,3423
high,fixed,5,1005,-168.09,3062.6555555555556,104.39305555555555,138.0,2448
high,webster,5,1005,-82.95,3072.802777777778,84.5375,121.0,3696
high,rl_global,5,1005,-98.67,2258.301388888889,89.28611111111111,120.0,3187
high,rl_e2,5,1005,-79.08,2624.625,90.1986111111111,124.0,3373
high,fixed,6,1006,-156.43,3054.1041666666665,103.81388888888888,139.0,2445
high,webster,6,1006,-68.37,2157.2972222222224,59.795833333333334,94.0,4082
high,rl_global,6,1006,-83.99,2242.963888888889,89.57916666666667,116.0,3156
high,rl_e2,6,1006,-91.41,2617.9847222222224,89.72361111111111,124.0,3309
high,fixed,7,1007,-166.59,3112.1722222222224,105.05833333333334,137.0,2429
high,webster,7,1007,-61.17,2219.197222222222,61.18194444444445,105.0,4061
high,rl_global,7,1007,-105.47,2299.2694444444446,90.77638888888889,120.0,3179
high,rl_e2,7,1007,-91.06,2681.0875,88.94027777777778,124.0,3432
high,fixed,8,1008,-176.16,3008.973611111111,103.71388888888889,137.0,2422
high,webster,8,1008,-77.56,2551.965277777778,70.35694444444445,120.0,3953
high,rl_global,8,1008,-99.25,2266.175,89.84027777777777,117.0,3164
high,rl_e2,8,1008,-99.92,2632.552777777778,88.98333333333333,127.0,3396
high,fixed,9,1009,-179.56,3050.7180555555556,104.6,133.0,2430
high,webster,9,1009,-55.81,2314.634722222222,66.00277777777778,118.0,3943
high,rl_global,9,1009,-86.94,2288.3902777777776,90.73611111111111,124.0,3190
high,rl_e2,9,1009,-67.91,2721.75,86.72361111111111,126.0,3445
high,fixed,10,1010,-166.24,3080.1722222222224,104.53472222222223,137.0,2438
high,webster,10,1010,-62.7,2289.5041666666666,63.75972222222222,112.0,3991
high,rl_global,10,1010,-92.61,2331.4861111111113,90.01527777777778,119.0,3204
high,rl_e2,10,1010,-78.86,2607.4430555555555,90.0625,126.0,3373
high,fixed,11,1011,-164.11,3005.7916666666665,103.15416666666667,132.0,2431
high,webster,11,1011,-79.12,2850.929166666667,78.2625,121.0,3848
high,rl_global,11,1011,-91.55,2315.276388888889,89.24305555555556,120.0,3199
high,rl_e2,11,1011,-87.34,2625.188888888889,89.09305555555555,122.0,3366
high,fixed,12,1012,-159.69,2983.2708333333335,102.9486111111111,133.0,2442
high,webster,12,1012,-82.92,2988.2902777777776,83.49444444444444,124.0,3694
high,rl_global,12,1012,-105.34,2259.101388888889,88.67083333333333,127.0,3225
high,rl_e2,12,1012,-78.39,2673.5222222222224,88.6,125.0,3386
high,fixed,13,1013,-172.61,3018.0027777777777,103.32916666666667,140.0,2429
high,webster,13,1013,-64.05,2466.347222222222,67.96805555555555,106.0,3972
high,rl_global,13,1013,-91.69,2291.0569444444445,90.0125,120.0,3163
high,rl_e2,13,1013,-62.59,2730.376388888889,90.56805555555556,126.0,3380
high,fixed,14,1014,-173.29,3029.2361111111113,104.025,131.0,2438
high,webster,14,1014,-71.38,2599.938888888889,71.04444444444445,116.0,3932
high,rl_global,14,1014,-102.35,2282.483333333333,89.20972222222223,119.0,3195
high,rl_e2,14,1014,-85.92,2648.2680555555557,88.55416666666666,122.0,3367
asymmetric,fixed,0,1000,-92.55,1614.5458333333333,56.044444444444444,95.0,1788
asymmetric,webster,0,1000,-53.7,875.3069444444444,43.90555555555556,78.0,2212
asymmetric,rl_global,0,1000,-6.8,406.2625,18.0375,43.0,2759
asymmetric,rl_e2,0,1000,-5.2,414.89722222222224,18.690277777777776,37.0,2762
asymmetric,fixed,1,1001,-103.09,1672.7847222222222,56.977777777777774,97.0,1790
asymmetric,webster,1,1001,-59.31,861.6902777777777,43.605555555555554,77.0,2232
asymmetric,rl_global,1,1001,-4.72,399.23055555555555,17.855555555555554,38.0,2760
asymmetric,rl_e2,1,1001,-9.02,398.2597222222222,18.244444444444444,36.0,2757
asymmetric,fixed,2,1002,-115.6,1705.3097222222223,57.09444444444444,93.0,1817
asymmetric,webster,2,1002,-45.36,876.1291666666667,44.229166666666664,76.0,2207
asymmetric,rl_global,2,1002,-4.04,396.5083333333333,17.669444444444444,41.0,2761
asymmetric,rl_e2,2,1002,-5.69,401.0388888888889,18.26527777777778,37.0,2759
asymmetric,fixed,3,1003,-98.73,1681.723611111111,56.952777777777776,98.0,1797
asymmetric,webster,3,1003,-51.85,876.8263888888889,43.43055555555556,75.0,2230
asymmetric,rl_global,3,1003,-5.96,389.3027777777778,17.641666666666666,43.0,2751
asymmetric,rl_e2,3,1003,-4.12,395.4555555555556,18.051388888888887,36.0,2761
asymmetric,fixed,4,1004,-100.49,1702.2111111111112,57.731944444444444,100.0,1787
asymmetric,webster,4,1004,-43.4,871.5847222222222,43.97083333333333,72.0,2201
asymmetric,rl_global,4,1004,-7.07,397.85,17.85972222222222,40.0,2759
asymmetric,rl_e2,4,1004,-8.0,412.45694444444445,18.71527777777778,35.0,2757
asymmetric,fixed,5,1005,-101.6,1710.1763888888888,57.475,95.0,1783
asymmetric,webster,5,1005,-51.65,912.6986111111111,43.89861111111111,74.0,2225
asymmetric,rl_global,5,1005,-3.98,389.62916666666666,17.51388888888889,39.0,2761
asymmetric,rl_e2,5,1005,-3.98,401.7013888888889,18.275,37.0,2761
asymmetric,fixed,6,1006,-99.92,1703.1472222222221,57.37222222222222,100.0,1791
asymmetric,webster,6,1006,-49.18,869.4486111111111,42.67916666666667,70.0,2223
asymmetric,rl_global,6,1006,-3.47,414.1458333333333,18.22361111111111,38.0,2762
asymmetric,rl_e2,6,1006,-3.61,400.36944444444447,18.2,35.0,2762
asymmetric,fixed,7,1007,-95.33,1638.6555555555556,56.33888888888889,96.0,1813
asymmetric,webster,7,1007,-51.82,858.5513888888889,43.15277777777778,73.0,2221
asymmetric,rl_global,7,1007,-6.45,402.5777777777778,17.954166666666666,36.0,2760
asymmetric,rl_e2,7,1007,-6.74,412.7652777777778,18.629166666666666,36.0,2759
asymmetric,fixed,8,1008,-86.92,1717.275,57.61944444444445,100.0,1805
asymmetric,webster,8,1008,-56.58,889.2388888888889,44.62361111111111,73.0,2219
asymmetric,rl_global,8,1008,-3.9,376.48333333333335,17.281944444444445,39.0,2749
asymmetric,rl_e2,8,1008,-5.64,412.1402777777778,18.645833333333332,37.0,2756
asymmetric,fixed,9,1009,-94.67,1685.8652777777777,56.77638888888889,100.0,1802
asymmetric,webster,9,1009,-47.45,887.8152777777777,44.44444444444444,73.0,2206
